"unaligned","aligned_unmapped","mapped_to_exon","mapped_to_intron","ambiguous_mapping","mapped_to_ERCC","mapped_to_MT","number_of_genes","total_count_per_cell","non_ERCC_percent","non_mt_percent","non_ribo_percent","batch","outliers","cell_number","cell_line_demuxlet","demuxlet_cls"
"p1_H22",33323,11405,181668,16819,3798,414,110732,6176,38543,0.995667176660958,0.891497807412112,0.977842674975307,"sc_Celseq2_5cl_p2","FALSE",2,"H838","DBL"
"p1_H23",11367,4481,29845,10527,826,491,3519,3972,11745,0.983482332070258,0.894848871098468,0.975137526489973,"sc_Celseq2_5cl_p2","FALSE",2,"A549","DBL"
"p1_H3",17199,17918,53403,19264,1830,350,3632,6328,22054,0.992019587833491,0.903237507525511,0.982225001258275,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_H4",21363,12546,35192,19307,1106,369,3310,4795,14445,0.988369677405075,0.899688472897412,0.982623064989225,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_H5",26374,21219,70545,32095,2022,371,17323,6524,23639,0.99310461483434,0.910698421713821,0.982443850228923,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_H6",15546,9582,48677,16099,1212,423,17265,4720,15804,0.988294102133451,0.891799543854847,0.984117322122676,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_H7",22718,15290,66868,25063,2519,407,3118,7107,27762,0.993084071395042,0.902708738238344,0.98018839414005,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_H9",15782,10194,62067,15740,1525,384,24140,4876,18758,0.991310373711851,0.9042008738116,0.980967597309096,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_I1",54922,22310,71677,31086,2110,488,7324,7252,27851,0.99299845571326,0.916627768871269,0.983088225525753,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_I10",17697,16656,53788,20361,1372,310,4222,6228,22661,0.992807024847621,0.905785269447162,0.979479731927218,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_I13",21844,14758,68569,23127,1898,617,14449,6032,24477,0.99031744045826,0.898884666871396,0.978469183940359,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_I14",23781,20233,72323,30787,2267,478,6119,7546,31113,0.993186127665868,0.901713109985629,0.978047447032608,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_I15",20263,12583,78513,23687,2052,465,31324,5685,23126,0.991308483528795,0.888048084023157,0.988973022151249,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_I16",19980,12350,75189,19163,1667,517,27647,5686,23536,0.990737593052882,0.898325968347074,0.980625008232067,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_I17",42917,48471,113914,52064,3706,561,17133,7797,39404,0.99434067582115,0.895670490078248,0.979341950222833,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_I18",14118,7942,47705,15296,1410,514,5132,5881,20358,0.98889871255089,0.904558404114079,0.97961441221416,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_I20",12383,6061,50922,11686,1415,449,11470,5272,18325,0.98946793943276,0.899208730750773,0.977298238854986,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_I21",18765,8118,73082,16067,2374,423,16686,6562,25690,0.992098092256871,0.896302062710665,0.981977040880872,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_I22",54600,18013,159993,34640,4001,424,40387,8608,48672,0.995952498151719,0.898463181932433,0.980953940468043,"sc_Celseq2_5cl_p2","FALSE",2,"HCC827","DBL"
"p1_I23",16329,4944,72435,12029,1832,286,26221,5278,21762,0.994439848821597,0.892289311234129,0.97913749694996,"sc_Celseq2_5cl_p2","FALSE",2,"A549","DBL"
"p1_I3",9618,7553,29262,11835,806,391,4930,4048,11126,0.985259751046863,0.897447419649966,0.983101758851556,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_I4",29843,32414,96367,44037,2744,424,14183,7713,34277,0.994573620505128,0.912740321232097,0.982787005050907,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_I5",16061,9966,53001,14565,1475,318,16945,5363,19931,0.99197230395265,0.893683206615984,0.97998044253653,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_I6",18649,12442,49432,20209,1410,429,9533,5248,18139,0.990076629918917,0.912343568602269,0.97706545175288,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_I7",23817,10258,83889,20158,2028,424,26570,6343,27325,0.99322964282041,0.893247941118665,0.977492780423502,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_I8",26889,25816,72106,35622,2383,446,7382,6792,25932,0.992673144766052,0.912964676495078,0.983803415161416,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_J1",46648,25422,114207,45708,3222,538,15093,8064,39932,0.99454071897362,0.907868376012254,0.97543299222854,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_J10",21888,14733,43088,23784,1289,326,3628,6125,20249,0.99175267865487,0.902810014863544,0.980294839105714,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_J11",9249,6019,37369,9769,818,507,13760,3761,11895,0.982849936122026,0.895250104333543,0.979150080580008,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_J12",17224,15963,62301,17664,1533,474,23356,5164,19184,0.990200166289512,0.887666805208681,0.982849779582058,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_J13",29521,20100,95029,31798,2468,352,25049,6895,34507,0.994638768657189,0.903121105600857,0.977859281346022,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_J16",41005,15452,90065,37556,2715,375,9573,7462,32519,0.995018296689622,0.912020664561635,0.981210682613032,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_J18",12076,8995,48845,14208,1217,315,19520,4774,16537,0.991413194054899,0.875188969658832,0.983551440072903,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_J19",25016,10517,123898,17594,2465,426,63468,6466,29448,0.993921488388372,0.901860907055875,0.986891813742253,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_J2",13185,8915,48755,13171,1216,389,15635,5176,17265,0.990674774983681,0.89377352974586,0.983260363011664,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_J20",10955,7925,33708,14283,884,198,3079,5348,17114,0.993280354684305,0.8984457164319,0.97832127011729,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_J21",10073,5665,32829,10735,1046,443,3437,4547,13047,0.985590556460803,0.891239364688251,0.980531171509794,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_J22",17955,7982,71331,16006,1981,379,15711,6226,24823,0.993232082748567,0.891350763045824,0.982233822570269,"sc_Celseq2_5cl_p2","FALSE",2,"A549","DBL"
"p1_J24",31264,20591,108329,38642,2592,281,18794,7887,36105,0.996787148318297,0.907713612821572,0.979725528396198,"sc_Celseq2_5cl_p2","FALSE",2,"H2228","DBL"
"p1_J3",24349,24325,71246,37953,2350,462,6215,6986,26960,0.993508901708639,0.9073442133133,0.980007054893526,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_J4",31539,24355,81571,43174,2166,364,16459,7293,31775,0.994398111410103,0.905743508762945,0.981085450484516,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_J5",35036,15806,93297,31634,2564,363,30662,7168,32382,0.99456488141728,0.903958989282948,0.979525359914348,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_J6",13398,10329,41723,12822,1352,383,7340,4794,15521,0.989111525681907,0.892725983575333,0.979510998317764,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_J7",33886,20749,71288,34121,2057,372,7586,6937,26859,0.993782344467857,0.903570497448315,0.9803041884269,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_J8",19128,11766,66746,19514,1727,450,23835,5393,20331,0.991244896467835,0.882494712073929,0.982587682559794,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_J9",24021,19216,81606,24324,2459,384,19594,6560,28522,0.99417993093255,0.898324100379243,0.979629416019418,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_K1",14543,13324,46608,18100,1184,383,11491,5487,18845,0.989280975861353,0.887609445005248,0.982435138002049,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_K10",12413,9014,44030,13730,1121,511,12362,4563,14623,0.985980988178909,0.894276139715328,0.977842455144324,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_K11",40174,11955,43319,18818,1561,501,3142,5567,17932,0.988010260434971,0.893207672934861,0.98003514385727,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_K12",13637,8182,52366,16825,1407,527,13884,5271,18409,0.987886359396009,0.910369927258205,0.982290736981511,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_K13",48605,10417,49034,19113,1431,508,4023,5889,19783,0.989637567108306,0.905777687456009,0.977151606353128,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_K15",25770,7621,85926,17950,2034,474,27607,6328,27169,0.992601862051381,0.890058522253282,0.979645559407575,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_K18",29478,12535,98941,24831,2553,468,35614,6086,29378,0.994043161211096,0.899754918340338,0.978384853160578,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_K2",23533,16617,75086,25409,2113,493,18979,6488,26830,0.991725679839088,0.896235556878034,0.98117742035877,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_K20",26215,9414,51641,19920,1532,519,6217,5446,19092,0.989210139854803,0.898177246544009,0.983448049733894,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_K21",12718,6318,42540,13680,1133,399,3307,5367,16992,0.989230225406526,0.907838982516573,0.978459876141787,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_K22",42756,25355,169364,48861,4854,365,39457,8974,53364,0.996908027697154,0.902199984839555,0.978861970830153,"sc_Celseq2_5cl_p2","FALSE",2,"A549","DBL"
"p1_K23",28553,7813,112799,19054,2798,360,42139,6834,33808,0.995178655645061,0.8956460006816,0.978614239643209,"sc_Celseq2_5cl_p2","FALSE",2,"A549","DBL"
"p1_K24",17975,4855,46872,10073,1521,257,4560,5125,17208,0.992910273714022,0.891329613614987,0.974081256345156,"sc_Celseq2_5cl_p2","FALSE",2,"A549","SNG"
"p1_K3",26827,20308,84749,31752,2148,676,31917,6028,25202,0.989286564165825,0.889810332160221,0.98170741143266,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_K4",23567,17233,89683,27604,2722,614,18997,6897,29693,0.99205199845349,0.905129154714872,0.981274717517692,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_K7",10447,8747,30150,14471,996,545,2280,4212,12027,0.982871870804962,0.898312130291584,0.978963183700687,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_K8",25770,16226,84746,26218,1923,602,32375,6095,24783,0.989872089339518,0.888996489170401,0.983778806529151,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_K9",10096,6318,26048,8905,773,190,1873,4709,13481,0.991469474822736,0.902529485273697,0.977745732701036,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_L1",17293,15005,61403,24360,1766,447,6283,6129,23526,0.991796310043443,0.907719118886458,0.979299082164804,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_L10",18660,19196,58205,30419,1808,409,2362,6328,23662,0.992097032798539,0.916406051510267,0.972782954617972,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_L12",11596,5838,40384,11436,1252,464,6249,5144,15888,0.987852466649136,0.906847934978066,0.976963131317264,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_L13",21816,12015,80377,22714,2527,488,17388,6753,27533,0.993171829806715,0.896015689937161,0.980096255367648,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_L14",17993,9086,48331,13326,1703,277,2704,5079,17831,0.993045818522211,0.88996691105941,0.977903102516347,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_L17",14280,9153,49841,15212,1687,306,7717,5368,18305,0.993116634256697,0.903523626930607,0.976453987187114,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_L18",12728,7868,42085,12982,1404,270,5450,5695,18408,0.992611907326917,0.894936983433867,0.977943840751934,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_L19",10485,6859,31019,12205,932,427,2999,4240,12294,0.985765413221274,0.895558808446756,0.975597059055589,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_L2",32358,18714,103799,27450,3040,415,30270,7521,34490,0.994665120036339,0.893447375791984,0.981994496377357,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_L20",9111,3325,35221,7244,785,328,14634,3398,10604,0.985665785566139,0.891267445406198,0.98330725829191,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_L22",19320,8559,76528,20563,2442,327,8101,6982,27696,0.994872905475566,0.901032639767103,0.979202419409872,"sc_Celseq2_5cl_p2","FALSE",2,"H2228","DBL"
"p1_L23",16264,5950,40481,15885,1273,463,4638,5051,15600,0.987756409623233,0.905448717368302,0.976601938075681,"sc_Celseq2_5cl_p2","FALSE",2,"H838","DBL"
"p1_L24",22837,16220,78525,25570,1882,310,31988,5516,21946,0.993757404085593,0.897521187962489,0.984552545086783,"sc_Celseq2_5cl_p2","FALSE",2,"A549","DBL"
"p1_L3",15822,11807,40875,18541,1356,385,3760,5717,19092,0.990310077000676,0.88895872570241,0.979624460703719,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_L5",19122,23889,53684,30730,1584,439,11371,5564,19602,0.989847974191487,0.905876950869362,0.980766768305903,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_L6",12199,7152,37313,12730,1220,408,3556,4651,14361,0.988301649614719,0.890745769172937,0.979666471926417,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_L8",23725,9932,98226,20340,2109,457,55222,4798,22594,0.992077542271365,0.899265291272344,0.983977611765242,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_L9",8390,5847,28942,7769,993,261,3709,4094,11537,0.989772036933543,0.896680245387293,0.978763128401553,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_M1",30685,19093,94599,30269,2457,525,33263,6626,28283,0.992539687800962,0.897677049500521,0.982957613068765,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_M11",30025,15431,107182,20871,2883,448,49957,6176,30734,0.994013144727659,0.890804971402745,0.980835237575572,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_M12",24964,14916,76143,23691,2294,537,13163,6850,27153,0.992045077526592,0.89791183261595,0.983132256792157,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_M13",22168,14181,76191,25707,1800,509,27508,5852,23889,0.990916320904635,0.890577252756257,0.980492703548619,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_M15",24910,23264,85952,28919,2762,505,6043,7393,32357,0.993849862164648,0.903792069442843,0.977377081504132,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_M16",27983,19557,107144,33935,3614,511,8427,8128,40091,0.994761916391519,0.906412910402232,0.98011998201093,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_M18",17620,11625,53379,25226,1855,542,3353,6105,22063,0.989394007619365,0.904953994966707,0.975841464967835,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_M2",13929,6806,47488,14126,1497,523,6379,5480,18771,0.988066698104487,0.8948377812078,0.978157275500892,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_M21",12134,4595,54441,9710,1152,323,25732,4215,15087,0.99091933386961,0.904686153042562,0.979054166465058,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_M22",22376,8398,75711,19439,2370,485,4013,6987,27758,0.992722818289242,0.913610490340222,0.976510924234122,"sc_Celseq2_5cl_p2","FALSE",2,"H2228","SNG"
"p1_M23",24654,9224,105418,21240,2726,326,35631,6915,32950,0.996176023976881,0.885098634025767,0.982670414971042,"sc_Celseq2_5cl_p2","FALSE",2,"A549","SNG"
"p1_M24",12492,7093,49099,12930,1716,374,8096,5161,17611,0.991312247463908,0.900857418147262,0.981885763508169,"sc_Celseq2_5cl_p2","FALSE",2,"H1975","DBL"
"p1_M3",29136,13044,116012,26139,3308,436,32531,7400,36194,0.994888655303396,0.894430015777634,0.978062392091951,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_M4",12204,7870,47388,14795,1822,659,3598,5443,18728,0.986063647487151,0.896892353216098,0.980189566323384,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_M5",84906,67190,307623,114807,8822,354,47520,11604,104044,0.998346853158438,0.900263350034575,0.979681578977973,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_M6",18175,10988,67363,18235,2061,491,5695,6923,25703,0.992140994828564,0.905030540829852,0.982336310027503,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_M7",10486,5034,37690,8763,1080,280,9456,4262,13796,0.990069584669419,0.894824586188153,0.977891433827607,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_M8",12819,6839,45325,11934,1351,307,12729,5160,18134,0.990515054047361,0.900849232987289,0.978382608148997,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_M9",13954,3062,40394,7679,855,369,18314,3447,11676,0.986467967637489,0.896882493236654,0.97593270303811,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_N1",8907,5219,35439,9115,1041,585,8869,3875,12343,0.982257149005706,0.897431741961086,0.976585127938809,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_N10",11690,6073,37554,11602,1116,390,9546,4359,14067,0.987204093987912,0.888604534805854,0.981942857792807,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_N11",14627,9582,52377,17708,1679,456,4116,5958,20197,0.990048026444498,0.913799078618706,0.975639463465137,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_N13",20290,7761,73583,16407,1824,429,27195,5803,22129,0.991142843783658,0.898730172669922,0.979664250682701,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_N14",6992,2223,24601,6948,622,385,6665,3310,8470,0.979811096836114,0.89031877108581,0.984178294948884,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_N15",15256,6936,44706,15778,1272,580,5635,4856,16846,0.986109461601502,0.905378130769691,0.972811959627235,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_N16",23314,12069,84968,26860,3022,496,8204,7103,31221,0.993337817176472,0.904839690943647,0.980397495148299,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_N18",13135,6144,46630,11920,1578,281,3503,5476,19542,0.993245317268834,0.906457885115926,0.975641707275761,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","DBL"
"p1_N19",11585,6246,45561,10823,1394,418,5578,5253,17976,0.989819759128939,0.892801512631953,0.978637639832199,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_N2",8125,4154,30209,9227,1014,326,3195,4119,12090,0.988585607122758,0.889247311092434,0.977501259304169,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_N20",21821,5663,46034,11439,1573,302,7098,5379,18051,0.993241371118918,0.897900392832585,0.979335782319106,"sc_Celseq2_5cl_p2","FALSE",1,"H838","DBL"
"p1_N21",12818,7167,48981,14065,1567,444,3513,5538,18273,0.990915557931968,0.905324795651877,0.981392775465017,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_N22",28973,12007,112328,23331,3193,347,23580,7827,36933,0.996101047573687,0.903528009935957,0.98107357077043,"sc_Celseq2_5cl_p2","FALSE",2,"H838","DBL"
"p1_N23",17509,7654,66204,15805,1800,335,20616,5544,21126,0.993467764369276,0.899555050222685,0.979503465159772,"sc_Celseq2_5cl_p2","FALSE",2,"H838","DBL"
"p1_N24",11841,5185,47739,14467,1310,179,4000,5491,17853,0.995182881871292,0.905842154872659,0.977034124777839,"sc_Celseq2_5cl_p2","FALSE",2,"H838","DBL"
"p1_N3",18064,10022,60604,19573,2030,330,4931,6716,25327,0.993801081457022,0.897895526158686,0.976941218090884,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_N4",18828,7282,64195,14522,1795,504,19896,5593,20715,0.990103789046535,0.894907071737916,0.98146223438946,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_N5",16141,9675,62140,15516,1699,372,16997,5388,21162,0.992770059071557,0.890369529869403,0.979207551645614,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_N6",21566,7352,76590,15354,1771,435,30851,5256,21812,0.991885200352152,0.905556573947572,0.98111086506929,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_N7",16867,7665,54691,14522,1462,450,9579,5560,20083,0.990290294781512,0.909874022352301,0.977841468982986,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_N8",12845,6556,56448,12054,1560,373,17779,4932,17755,0.9914390307004,0.886905096656207,0.979892435994122,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_N9",21223,15198,71208,21860,1655,458,24554,5712,21296,0.991265964974049,0.896177685529594,0.982672340969036,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_O1",11707,10429,33001,19290,979,556,2420,4517,13112,0.983755337870839,0.903523489243805,0.981314077704334,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_O10",7675,3842,28894,7485,697,275,3089,4004,11885,0.989230121170189,0.897854437612239,0.982750540386588,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_O11",15084,5502,51784,13879,1762,518,4213,5449,20391,0.989701338340591,0.899857779952009,0.973517250984625,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_O12",17051,7426,63097,15222,2092,411,3487,6317,24662,0.992579676833761,0.903535803704673,0.974535327817968,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_O13",12585,5118,47754,14263,1647,438,5868,5069,17300,0.989595375150523,0.889306357867453,0.976473424003801,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_O14",5635,2621,19078,5849,549,253,2033,3622,8885,0.983680359050444,0.899380978166144,0.979289837602884,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_O15",15937,3849,69554,9009,1717,567,28812,4739,20651,0.988910948143474,0.891385404633487,0.978547780471754,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","SNG"
"p1_O16",13678,4758,53284,12941,1544,571,4243,5811,19863,0.988269646584972,0.905603382718822,0.978955354702032,"sc_Celseq2_5cl_p2","FALSE",1,"H2228","DBL"
"p1_O17",23136,5848,107210,12656,3022,387,35113,6928,33540,0.994841979429087,0.887686344398424,0.982915628230284,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_O18",12626,5061,56116,9352,1436,489,18357,4708,17186,0.98801349878505,0.880076806191041,0.980099511172169,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_O19",19026,7339,62446,16279,1853,453,14547,5590,20934,0.990876086275496,0.894860035877109,0.985716544512972,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_O21",11887,5717,37901,9695,1281,427,7229,4483,14308,0.988048643424624,0.898238746926028,0.977144969845562,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_O24",10738,2476,36641,7396,1008,154,8293,4545,14777,0.994315489616082,0.891858969417433,0.977193627127545,"sc_Celseq2_5cl_p2","FALSE",2,"A549","SNG"
"p1_O4",25038,9393,94223,21944,3191,491,7982,7514,35170,0.99388683508846,0.89471140150847,0.975120564367198,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_O5",14781,7995,56955,13979,1406,468,16337,5273,18269,0.990037768356211,0.883299578037495,0.983359251541271,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_O6",42819,16442,180995,34262,5404,353,48317,8734,55358,0.996892951154866,0.885689511744339,0.977347270973071,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_O7",37575,17099,134185,33038,3888,460,13325,8220,45794,0.995610778487223,0.907149408021324,0.976328563495531,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
"p1_O8",16495,7715,66763,15866,2232,455,4927,6245,25868,0.992732333001109,0.899103138665879,0.973828292164724,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_O9",16613,8165,62878,18465,1992,548,9405,5800,22761,0.990817626206749,0.890865954531494,0.974429517846528,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_P10",9324,2652,42728,4703,1256,301,12680,4190,14383,0.99068344504576,0.892720572277883,0.980809997351041,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_P12",16490,6143,58274,9435,1855,237,6280,5950,21253,0.995388885806527,0.898837810709623,0.985554516748451,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","SNG"
"p1_P14",7595,3892,27831,6451,796,292,9572,3074,8876,0.987043712272371,0.903672824579008,0.98704260134903,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_P15",9452,3802,35202,9553,1133,266,4426,4619,14584,0.992251782095274,0.894199121712699,0.976617542088904,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_P16",9155,3791,26060,8190,832,316,3856,3697,9669,0.98634812184678,0.904850552378891,0.98117594252152,"sc_Celseq2_5cl_p2","FALSE",1,"H1975","DBL"
"p1_P18",12521,3796,28162,6140,903,212,4242,3776,10830,0.990951060950184,0.89095106104252,0.975345359791912,"sc_Celseq2_5cl_p2","FALSE",1,"A549","SNG"
"p1_P19",6726,2471,22729,5015,653,243,2201,3197,8675,0.988011526238603,0.894870315971331,0.979480138927794,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_P22",9578,3523,33938,8416,954,198,7001,4012,12159,0.993420510738202,0.898922608027862,0.979849510774315,"sc_Celseq2_5cl_p2","FALSE",2,"H838","SNG"
"p1_P3",15731,9284,50959,12598,1588,322,13422,5024,17938,0.991972348649809,0.889341063167945,0.977031454436696,"sc_Celseq2_5cl_p2","FALSE",1,"H838","SNG"
"p1_P4",10755,3127,24511,5392,845,294,3547,3521,9849,0.986191490520671,0.894202456194332,0.979083176887829,"sc_Celseq2_5cl_p2","FALSE",1,"A549","DBL"
"p1_P5",7299,3392,31119,7019,644,245,7595,3505,10552,0.989006822413754,0.904946928634432,0.976212115037798,"sc_Celseq2_5cl_p2","FALSE",1,"HCC827","SNG"
